id,category,instruction,instruct_baseline_rouge_l,instruct_ft_rouge_l,base_baseline_rouge_l,base_ft_rouge_l,instruct_baseline_bleu,instruct_ft_bleu,base_baseline_bleu,base_ft_bleu,winner
0,brainstorming,Give me three recipes from different cuisines that I can make with potatoes and chicken,0.1244,0.1102,0.2000,0.1023,0.0055,0.0082,0.0054,0.0033,instruct
1,brainstorming,Give me multiple modes of transport to get to Australia,0.0636,0.0439,0.0294,0.0352,0.0031,0.0026,0.0011,0.0021,instruct
2,brainstorming,What are the primary ingredients and spices that go into Greek cooking?,0.0944,0.0786,0.0962,0.1030,0.0035,0.0029,0.0028,0.0036,base
3,brainstorming,What medicinal plants should I grow in my Mid-Atlantic garden?,0.0112,0.0000,0.0093,0.0909,0.0012,0.0000,0.0000,0.0035,base
4,brainstorming,What are some ways I could cheer up my friend that just got dumped?,0.1637,0.1294,0.0567,0.0486,0.0104,0.0043,0.0013,0.0016,instruct
5,brainstorming,How do you motivate and focus a team to exceed expectations during a terrible economic downturn?,0.0793,0.0631,0.0711,0.0402,0.0027,0.0015,0.0021,0.0010,instruct
6,brainstorming,What is success,0.0829,0.0800,0.0079,0.0508,0.0015,0.0026,0.0009,0.0012,instruct
7,brainstorming,"What are some items you can put on a bookshelf, other than books, to make it nice looking.",0.1429,0.1434,0.1660,0.1130,0.0052,0.0052,0.0031,0.0030,instruct
8,brainstorming,What are the measurements needed to fit pants?,0.0965,0.0934,0.1157,0.1081,0.0030,0.0026,0.0136,0.0070,base
9,brainstorming,Who is the most popular president ever in the USA?,0.1723,0.1845,0.2857,0.1314,0.0493,0.0429,0.1179,0.0157,instruct
10,classification,"Which of the following are noble gases: helium, sodium, neon, oxygen, argon, hydrogen, calcium, magnesium, lithium, boro",0.1227,0.0976,0.4615,0.0870,0.0437,0.0318,0.1644,0.0261,instruct
11,classification,"Identify which instrument is string or percussion: Pellet drum, Rajao",0.0722,0.0680,0.1071,0.0606,0.0142,0.0222,0.0111,0.0204,instruct
12,classification,"I dont think I should pursue higher education. From the following, what are some pros and cons of getting a masters educ",0.3038,0.2357,0.3115,0.2205,0.1201,0.1097,0.1300,0.0629,instruct
13,classification,"Classify each method of communication as ""verbal"" or ""written"": e-mail, phone call, slack chat, zoom meeting, text, post",0.1596,0.1176,0.5333,0.1518,0.0147,0.0015,0.0173,0.0728,base
14,classification,"Tell me which of these is a Country, a City, a River, or a Mountain: New York, Nile, Amazon, Kilimanjaro, USA, Spain, It",0.3670,0.3704,0.2346,0.5195,0.0023,0.0058,0.0055,0.0080,base
15,classification,"Identify which car manufacturer is Japanese or American: RAM, Toyota Motor Corporation",0.0766,0.0800,0.4324,0.0503,0.0063,0.0302,0.0961,0.0144,instruct
16,classification,"Classify the following as either red wines or white wines: Cabernet Sauvignon, Pinot Blanc, Riesling, Chardonnay, Pinot ",0.1726,0.1146,0.3736,0.2656,0.0861,0.0031,0.2162,0.1262,base
17,classification,"Tell me whether these are pasta types or pizza types: macaroni, rigatoni, margherita, pepperoni, orzo, spaghetti, stuffe",0.1111,0.0783,0.2105,0.0991,0.0017,0.0057,0.0000,0.0450,base
18,classification,Which is a species of fish? Steelhead or Metalhead,0.0099,0.0088,0.0909,0.0103,0.0009,0.0008,0.0087,0.0009,base
19,classification,"Categorize the below types of animals based on whether they are domestic or non-domestic
dog, cat, badgers, cougars",0.0667,0.0648,1.0000,0.0657,0.0030,0.0030,0.0211,0.0030,base
20,closed_qa,"What is an ""El Niño"" weather pattern?",0.1871,0.2292,0.0867,0.2000,0.0915,0.1120,0.0025,0.0434,instruct
21,closed_qa,"Given that preserving human brains for more than a century is fairly uncommon, what do you think was the motivation for ",0.1487,0.1355,0.1707,0.1343,0.0203,0.0057,0.0098,0.0039,instruct
22,closed_qa,How was art used for manipulative purpose in racial discuss in the 20th century?,0.0756,0.0776,0.0905,0.0783,0.0024,0.0035,0.0041,0.0035,base
23,closed_qa,"Given this paragraph, what were the regional release dates for Viva Piñata: Party Animals?",0.3315,0.2687,0.5538,0.3211,0.0873,0.0442,0.1138,0.0705,base
24,closed_qa,When was Rhual constructed?,0.0821,0.0731,0.2727,0.0724,0.0142,0.0257,0.0334,0.0255,instruct
25,closed_qa,What new economies developed because of the anti-slave treaties?,0.0744,0.0853,0.5161,0.0976,0.0189,0.0055,0.0749,0.0062,base
26,closed_qa,"Given a reference text about Michał Rozenfeld, tell me what he did before the war and where he's buried.",0.1791,0.2029,0.1429,0.1429,0.0959,0.0631,0.0257,0.0257,instruct
27,closed_qa,Where did peanut butter and jelly sandwiches originate?,0.2930,0.2920,0.7339,0.3019,0.1725,0.1689,0.6535,0.1760,base
28,closed_qa,"Given a reference text about Mussa Azzan Zungu, tell me his current position.",0.8000,0.0569,0.8333,0.0976,0.4962,0.0239,0.4883,0.0280,base
29,closed_qa,"Based on this questio about Kingdom Hearts, what company published it?",0.0191,0.0200,1.0000,0.0190,0.0018,0.0020,0.3162,0.0018,instruct
30,creative_writing,Why do I have a belly button?,0.1920,0.1818,0.1365,0.1255,0.0236,0.0229,0.0291,0.0182,instruct
31,creative_writing,What are the best day trips near San Francisco?,0.1423,0.1355,0.1190,0.1000,0.0102,0.0077,0.0049,0.0038,instruct
32,creative_writing,What is the best food?,0.1587,0.2000,0.1493,0.1920,0.0071,0.0626,0.0250,0.0640,instruct
33,creative_writing,Imagine you are the last person on Earth. Write a diary entry describing your thoughts and feelings.,0.1148,0.1346,0.0514,0.1122,0.0008,0.0013,0.0004,0.0010,instruct
34,creative_writing,Write about something you hate.,0.1069,0.0489,0.0588,0.0896,0.0041,0.0025,0.0028,0.0031,base
35,creative_writing,"Describe what your ideal pet cat would look like, and what you would name it.",0.2000,0.1589,0.1613,0.1762,0.0254,0.0305,0.0350,0.0292,base
36,creative_writing,Draft an e-mail to a resort inquiring about information regarding a vow renewal celebration for my wife and me.,0.2292,0.1830,0.1823,0.1663,0.1088,0.0254,0.0302,0.0263,instruct
37,creative_writing,Should I pursue a PhD in STEM?,0.1896,0.2227,0.1783,0.1905,0.0126,0.0673,0.0158,0.0062,instruct
38,creative_writing,Why did the cow jump over the moon?,0.1883,0.2312,0.1053,0.2188,0.0403,0.0329,0.0019,0.0364,instruct
39,creative_writing,What are the pros and cons of outdoor and indoor soccer?,0.1683,0.1895,0.1865,0.1806,0.0138,0.0130,0.0151,0.0186,instruct
40,general_qa,"What is the difference between UI design, UX design and Product design?",0.2092,0.2000,0.2334,0.1790,0.0245,0.0110,0.0109,0.0048,instruct
41,general_qa,How do I get in shape?,0.1484,0.1524,0.0221,0.1590,0.0041,0.0087,0.0016,0.0096,base
42,general_qa,Why do humans play sports?,0.1721,0.1313,0.0602,0.1260,0.0373,0.0354,0.0059,0.0324,instruct
43,general_qa,Are you going for a walk today?,0.0750,0.0528,0.0538,0.0751,0.0138,0.0098,0.0013,0.0187,base
44,general_qa,Who is the greatest guitarist of all time?,0.1115,0.1812,0.1561,0.1877,0.0240,0.0390,0.0342,0.0463,base
45,general_qa,Is karaoke fun?,0.1477,0.1436,0.1519,0.1393,0.0079,0.0091,0.0073,0.0103,instruct
46,general_qa,What is the name of the meme crypto coin that Elon Musk made famous?,0.0972,0.0608,0.1418,0.0902,0.0029,0.0026,0.0058,0.0030,base
47,general_qa,How do I find my Tesla charging station?,0.0969,0.1020,0.1818,0.0876,0.0061,0.0057,0.0160,0.0056,instruct
48,general_qa,What is the trias politica?,0.2222,0.2033,0.2857,0.2039,0.0246,0.0279,0.0069,0.0269,base
49,general_qa,What are the New Rules for 2022?,0.0914,0.0853,0.1116,0.1267,0.0048,0.0036,0.0031,0.0035,base
50,information_extraction,Was Samuel Wesley the founder of the Methodist Church?,0.1048,0.1023,0.9091,0.0897,0.0307,0.0325,0.5789,0.0305,instruct
51,information_extraction,What year was Craigslist founded?,0.0625,0.0696,0.1818,0.0751,0.0078,0.0137,0.0000,0.0144,base
52,information_extraction,"From the passage provided, extract list of language drivers for Cassandra. Separate them with a comma.",0.1000,0.1205,0.7619,0.1250,0.0396,0.0012,0.0211,0.0393,base
53,information_extraction,Extract the year that the Balloon typeface was created from the following Wikipedia article.,0.0450,0.0792,0.1818,0.0985,0.0045,0.0205,0.0000,0.0342,base
54,information_extraction,"Given the lineage of this historical military aircraft, when was the Avro Arrow first flown and what were the operating ",0.1905,0.1842,0.6176,0.1299,0.0430,0.0388,0.1998,0.0205,instruct
55,information_extraction,From the passage identify the areas where cytokines can help the host immune responses. Display the results in a comma s,0.0745,0.1062,0.4615,0.0578,0.0218,0.0314,0.1792,0.0134,instruct
56,information_extraction,"Based on this paragraph, how many jobs are created by tourism in Germany?",0.0957,0.0826,0.5714,0.0822,0.0379,0.0326,0.0761,0.0139,instruct
57,information_extraction,"From the passage provided, extract the date of birth of Gandhi",0.0426,0.0449,0.2000,0.0753,0.0026,0.0077,0.0000,0.0250,base
58,information_extraction,Based on the following passage what are positive and conventional current?,0.1853,0.3146,0.3590,0.3134,0.0739,0.1892,0.0332,0.1883,instruct
59,information_extraction,What is ice hockey?,0.4490,0.2249,0.2656,0.2146,0.1836,0.0516,0.0496,0.0486,instruct
60,open_qa,Which golf tournaments are considered majors in the PGA?,0.1140,0.1088,0.0000,0.0866,0.0062,0.0313,0.0000,0.0097,instruct
61,open_qa,"What links Brazil, Uruguay, Mozambique and Angola",0.0339,0.0199,0.0952,0.0092,0.0030,0.0009,0.0102,0.0000,instruct
62,open_qa,Who wrote Democracy in America?,0.0645,0.0654,0.0843,0.0645,0.0257,0.0263,0.0084,0.0211,instruct
63,open_qa,Why is LaSalle Street in Chicago important?,0.1787,0.1394,0.1931,0.1667,0.0543,0.0462,0.0374,0.0538,base
64,open_qa,Which Baseball team won the 2016 World Series?,0.0870,0.0841,0.2857,0.0727,0.0187,0.0195,0.0632,0.0190,instruct
65,open_qa,What are the names of the different scores you can shoot for each hole when golfing?,0.1988,0.2364,0.2179,0.1349,0.0676,0.0313,0.0020,0.0227,instruct
66,open_qa,How can I improve my table tennis skills?,0.1333,0.1762,0.1439,0.1756,0.0100,0.0626,0.0280,0.0440,instruct
67,open_qa,Walter Koenig played which part in the Star Trek series,0.0132,0.0174,0.0196,0.0091,0.0012,0.0009,0.0018,0.0008,instruct
68,open_qa,What does AWS stand for?,0.1023,0.1382,0.0773,0.1167,0.0186,0.0345,0.0026,0.0188,instruct
69,open_qa,In what year did the Pac-10 Become the Pac-12?,0.1228,0.1167,0.2626,0.1071,0.0307,0.0312,0.0722,0.0329,instruct
70,summarization,"Based on this information that I have shared about Abel Janszoon Tasman, can you summarize it for me?",0.1870,0.1489,0.1553,0.1315,0.0467,0.0102,0.0031,0.0022,instruct
71,summarization,Who is Oji Hiroi,0.2069,0.3852,0.9592,0.4413,0.1040,0.1983,0.7607,0.2352,base
72,summarization,"Please give me a short bulleted list of the key events that happened in Kobe Bryant’s early life in time order, from ear",0.2784,0.2667,0.2989,0.2847,0.0759,0.0419,0.0219,0.0436,base
73,summarization,Quel a été l'impact de la révolution française ?,0.2281,0.2661,0.2778,0.2672,0.0697,0.0881,0.0578,0.0887,base
74,summarization,Please summarize the history of the development of Roche Percee based on this article,0.2491,0.1976,0.1556,0.2441,0.0492,0.0179,0.0107,0.0197,base
75,summarization,What is the movie True Spirit about?,0.2229,0.2202,0.1414,0.1513,0.0888,0.0682,0.0066,0.0046,instruct
76,summarization,Please give me a list of qualities that make the Masters is golf's top tournament unique?,0.1228,0.1391,0.0717,0.1649,0.0004,0.0020,0.0000,0.0087,base
77,summarization,Please write some key points on Booker prize from the given passage.,0.3786,0.5823,0.5415,0.4136,0.1657,0.2812,0.2669,0.1482,instruct
78,summarization,What principles does conversion rate optimization share with direct response marketing?,0.1633,0.2422,0.2573,0.2541,0.0040,0.1035,0.1070,0.1065,base
79,summarization,What are major rivers in Serbia,0.2511,0.7511,0.1030,0.4968,0.0827,0.5556,0.0028,0.4944,instruct
